wals_code,iso_code,glottocode,name,latitude,longitude,genus,family,macroarea,countrycodes,3A  Consonant-Vowel Ratio,13A Tone,26A Prefixing vs. Suffixing in Inflectional Morphology,30A Number of Genders,31A Sex-based and Non-sex-based Gender Systems,33A Coding of Nominal Plurality,45A Politeness Distinctions in Pronouns,49A Number of Cases,51A Position of Case Affixes,53A Ordinal Numerals,57A Position of Pronominal Possessive Affixes,67A The Future Tense,68A The Perfect,"81A Order of Subject, Object and Verb",92A Position of Polar Question Particles
fum,ffm,maas1239,Fulfulde (Maasina),15,-5,Northern Atlantic,Niger-Congo,Africa,ML,,,,,,,,,,,,,,,
fur,fvr,furr1244,Fur,13.5,25,Fur,Fur,Africa,SD,2 Moderately low,2 Simple tone system,3 Weakly suffixing,,,6 Mixed morphological plural,1 No politeness distinction,4 4 cases,1 Case suffixes,,4 No possessive affixes,,,1 SOV,
fus,fuc,pula1263,Fula (Senegal),15,-14,Northern Atlantic,Niger-Congo,Africa,SN,,,,,,,,,,,,,,,
fut,fut,futu1245,Futuna-Aniwa,-19.53333333,170.2166667,Oceanic,Austronesian,Papunesia,VU,,,1 Little affixation,,,7 Plural word,,,9 No case affixes or adpositional clitics,,2 Possessive suffixes,,,2 SVO,2 Final
fuz,cdo,mind1253,Fuzhou,26,119.5,Chinese,Sino-Tibetan,Eurasia,MY TH CN,2 Moderately low,3 Complex tone system,,,,,,,,,,,,,
fye,pym,fyam1238,Fyem,9.583333333,9.333333333,Platoid,Niger-Congo,Africa,NG,5 High,2 Simple tone system,3 Weakly suffixing,,,1 Plural prefix,,,,,2 Possessive suffixes,,,2 SVO,2 Final
ga,gaa,gaaa1244,Gã,5.666666667,-0.1666666667,Kwa,Niger-Congo,Africa,GH,3 Average,3 Complex tone system,,,,2 Plural suffix,,,,,,,,2 SVO,
gaa,gbu,gaga1251,Gaagudju,-12.58333333,132.8333333,Gaagudju,Gaagudju,Australia,AU,,,4 Equal prefixing and suffixing,,,,,,9 No case affixes or adpositional clitics,,,,,,
gad,ged,gade1242,Gade,8.666666667,7.416666667,Nupoid,Niger-Congo,Africa,NG,,,,,,,,,,,,,,,
gae,gla,scot1245,Gaelic (Scots),57,-4,Celtic,Indo-European,Eurasia,GB,,,3 Weakly suffixing,2 Two,2 Sex-based,6 Mixed morphological plural,2 Binary politeness distinction,,5 Mixed morphological case,"6 First, two-th, three-th",,,,3 VSO,6 No question particle
gag,gag,gaga1249,Gagauz,46.33333333,28.66666667,Turkic,Altaic,Eurasia,MD,,,,,,,,,,,,,,,
gah,gah,alek1238,Gahuku,-6,145.4166667,Eastern Highlands,Trans-New Guinea,Papunesia,PG,,,2 Strongly suffixing,,,2 Plural suffix,,,1 Case suffixes,,3 Prefixes and suffixes,,,1 SOV,6 No question particle
gal,adi,damu1236,Galo,28.16666667,94.66666667,Tani,Sino-Tibetan,Eurasia,IN,,,2 Strongly suffixing,,,2 Plural suffix,,,1 Case suffixes,,4 No possessive affixes,,,1 SOV,6 No question particle
