wals_code,iso_code,glottocode,name,latitude,longitude,genus,family,macroarea,countrycodes,3A  Consonant-Vowel Ratio,13A Tone,26A Prefixing vs. Suffixing in Inflectional Morphology,30A Number of Genders,31A Sex-based and Non-sex-based Gender Systems,33A Coding of Nominal Plurality,45A Politeness Distinctions in Pronouns,49A Number of Cases,51A Position of Case Affixes,53A Ordinal Numerals,57A Position of Pronominal Possessive Affixes,67A The Future Tense,68A The Perfect,"81A Order of Subject, Object and Verb",92A Position of Polar Question Particles
aab,,,Arapesh (Abu),-3.45,142.95,Kombio-Arapesh,Torricelli,,PG,,,,,,,,,,,,,,2 SVO,2 Final
aar,aiw,aari1239,Aari,6,36.58333333,South Omotic,Afro-Asiatic,Africa,ET,,,2 Strongly suffixing,,,9 No plural,,,1 Case suffixes,,4 No possessive affixes,,,,6 No question particle
aba,aau,abau1245,Abau,-4,141.25,Upper Sepik,Sepik,Papunesia,PG,,,,,,,,,,,,,,1 SOV,
abb,shu,chad1249,Arabic (Abbéché Chad),13.83333333,20.83333333,Semitic,Afro-Asiatic,Africa,TD,,,,,,,,,,,,,,,
abd,abi,abid1235,Abidji,5.666666667,-4.583333333,Kwa,Niger-Congo,Africa,CI,,,,,,,,,,,,,,,
abe,apc,nort3139,Arabic (Beirut),33.91666667,35.5,Semitic,Afro-Asiatic,Eurasia,LB,,,,,,,,,,,,,,,
abh,abv,baha1259,Arabic (Bahrain),26,50.5,Semitic,Afro-Asiatic,Eurasia,BH,,,,,,,,,,,,,,,
abi,axb,abip1241,Abipón,-29,-61,South Guaicuruan,Guaicuruan,South America,AR,3 Average,,2 Strongly suffixing,,,2 Plural suffix,,1 No morphological case-marking,9 No case affixes or adpositional clitics,,3 Prefixes and suffixes,2 No inflectional future,4 No perfect,2 SVO,
abk,abk,abkh1244,Abkhaz,43.08333333,41,Northwest Caucasian,Northwest Caucasian,Eurasia,GE,5 High,1 No tones,4 Equal prefixing and suffixing,3 Three,2 Sex-based,2 Plural suffix,,2 2 cases,9 No case affixes or adpositional clitics,"5 First/one-th, two-th, three-th",1 Possessive prefixes,1 Inflectional future exists,3 Other perfect,1 SOV,6 No question particle
abm,akz,alab1237,Alabama,32.33333333,-87.41666667,Muskogean,Muskogean,North America,US,4 Moderately high,,,,,,,,,,,,,,
abn,ard,arab1267,Arabana,-28.25,136.25,Central Pama-Nyungan,Pama-Nyungan,Australia,AU,,,2 Strongly suffixing,1 None,1 No gender,2 Plural suffix,,,1 Case suffixes,1 None,,,,1 SOV,
abo,arv,arbo1245,Arbore,5,36.75,Lowland East Cushitic,Afro-Asiatic,Africa,ET,,,,2 Two,2 Sex-based,,,,,,,,,1 SOV,
abu,kgr,abun1252,Abun,-0.5,132.5,North-Central Bird's Head,West Papuan,Papunesia,ID,,,1 Little affixation,,,9 No plural,1 No politeness distinction,,9 No case affixes or adpositional clitics,,,,,2 SVO,2 Final
abv,abz,abui1241,Abui,-8.25,124.6666667,Greater Alor,Timor-Alor-Pantar,Papunesia,ID,,,4 Equal prefixing and suffixing,,,7 Plural word,,,9 No case affixes or adpositional clitics,,1 Possessive prefixes,,,1 SOV,
abw,abe,west2630,Abenaki (Western),44,-72.25,Algonquian,Algic,North America,US CA,,,,,,,,,,,,,,,
abz,abq,abaz1241,Abaza,44,42,Northwest Caucasian,Northwest Caucasian,Eurasia,RU,,,,,,,,,,,,,,,
ace,ace,achi1257,Acehnese,5.5,95.5,Malayo-Sumbawan,Austronesian,Eurasia,ID,,,1 Little affixation,,,9 No plural,,,9 No case affixes or adpositional clitics,,4 No possessive affixes,,,7 No dominant order,5 In either of two positions
acg,aca,acha1250,Achagua,4.416666667,-72.25,Inland Northern Arawakan,Arawakan,South America,CO,,,4 Equal prefixing and suffixing,,,2 Plural suffix,,,9 No case affixes or adpositional clitics,,1 Possessive prefixes,,,2 SVO,
ach,guq,ache1246,Aché,-25.25,-55.16666667,Tupi-Guaraní,Tupian,South America,PY,2 Moderately low,,,,,,,,,,,,,,
aci,acr,quic1275,Achí,15.16666667,-90.5,Mayan,Mayan,North America,GT,,,,,,,,,,"6 First, two-th, three-th",,,,,
acl,ach,acol1236,Acholi,3,32.66666667,Nilotic,Eastern Sudanic,Africa,UG SD,,,4 Equal prefixing and suffixing,,,6 Mixed morphological plural,,,9 No case affixes or adpositional clitics,,2 Possessive suffixes,,,2 SVO,
acm,acv,achu1247,Achumawi,41.5,-121,Palaihnihan,Hokan,North America,US,3 Average,2 Simple tone system,,,,,,,1 Case suffixes,,,,,2 SVO,
acn,acn,acha1249,Achang,25,98.5,Burmese-Lolo,Sino-Tibetan,Eurasia,MM CN,,,,,,,,,,,,,,,2 Final
aco,kjq,west2632,Acoma,34.91666667,-107.5833333,Keresan,Keresan,North America,US,5 High,3 Complex tone system,4 Equal prefixing and suffixing,1 None,1 No gender,2 Plural suffix,1 No politeness distinction,1 No morphological case-marking,,"5 First/one-th, two-th, three-th",1 Possessive prefixes,2 No inflectional future,4 No perfect,7 No dominant order,
acu,acu,achu1248,Achuar,-2.66667,-76,Jivaroan,Jivaroan,South America,PE,,,2 Strongly suffixing,,,,,,1 Case suffixes,,2 Possessive suffixes,,,,6 No question particle
ada,ads,adam1238,Adamorobe Sign Language,5.833333333,-0.1666666667,Sign Languages,other,Africa,GH,,,,,,,,,,,,,,,
adg,adn,adan1251,Adang,-8.2,124,Greater Alor,Timor-Alor-Pantar,Papunesia,ID,,,1 Little affixation,,,9 No plural,,,9 No case affixes or adpositional clitics,,1 Possessive prefixes,,,1 SOV,
adi,adj,adio1239,Adioukrou,5.416666667,-4.583333333,Kwa,Niger-Congo,Africa,CI,,,5 Weakly prefixing,,,1 Plural prefix,,,9 No case affixes or adpositional clitics,,4 No possessive affixes,,,2 SVO,2 Final
adk,ano,ando1256,Andoke,-0.6666666667,-72,Andoke,Andoke,South America,CO,1 Low,2 Simple tone system,,,,,,,1 Case suffixes,,,,,,
adn,adt,adny1235,Adynyamathanha,-30.5,139.5,Central Pama-Nyungan,Pama-Nyungan,Australia,AU,,,2 Strongly suffixing,,,,,,1 Case suffixes,,,,,7 No dominant order,
adt,ady,adyg1241,Adyghe (Temirgoy),45.21666667,39.7,Northwest Caucasian,Northwest Caucasian,Eurasia,RU,,,,,,,,,,,,,,,
ady,ady,adyg1241,Adyghe (Abzakh),45.23333333,40.58333333,Northwest Caucasian,Northwest Caucasian,Eurasia,RU,,,,,,,,,1 Case suffixes,,1 Possessive prefixes,,,1 SOV,
adz,adz,adze1240,Adzera,-6.25,146.25,Oceanic,Austronesian,Papunesia,PG,4 Moderately high,,,,,,,,,,,,,2 SVO,6 No question particle
aea,ale,aleu1260,Aleut (Eastern),54.75,-164,Aleut,Eskimo-Aleut,North America,US,5 High,1 No tones,,,,,,,,,,,,,
aeg,arz,egyp1253,Arabic (Egyptian),30,31,Semitic,Afro-Asiatic,Africa,EG,4 Moderately high,1 No tones,3 Weakly suffixing,2 Two,2 Sex-based,6 Mixed morphological plural,1 No politeness distinction,1 No morphological case-marking,9 No case affixes or adpositional clitics,"6 First, two-th, three-th",2 Possessive suffixes,1 Inflectional future exists,4 No perfect,2 SVO,1 Initial
ael,ayl,liby1240,Arabic (Eastern Libyan),32,22,Semitic,Afro-Asiatic,Africa,LY,,,,,,,,,,,,,,,
afr,afr,afri1274,Afrikaans,-31,22,Germanic,Indo-European,Africa,ZA,,,,,,,,,,"6 First, two-th, three-th",,2 No inflectional future,"2 From 'finish', 'already'",,
aga,agd,agar1252,Agarabi,-6.166666667,146,Eastern Highlands,Trans-New Guinea,Papunesia,PG,,,3 Weakly suffixing,,,,,,1 Case suffixes,,1 Possessive prefixes,,,1 SOV,6 No question particle
agb,agb,legb1242,Leggbó,6,8,Cross River,Niger-Congo,Africa,NG,,,,,,,,,,,,,,2 SVO,
agc,agt,cent2084,Agta (Central),17.96666667,121.8333333,Greater Central Philippine,Austronesian,Papunesia,PH,,,2 Strongly suffixing,,,7 Plural word,,,9 No case affixes or adpositional clitics,,2 Possessive suffixes,,,3 VSO,1 Initial
agd,duo,dupa1235,Agta (Dupaningan),18,122.0833333,Greater Central Philippine,Austronesian,Papunesia,PH,,,,,,7 Plural word,,,,,,,,3 VSO,3 Second position
agh,agq,aghe1239,Aghem,6.666666667,10,Bantoid,Niger-Congo,Africa,CM,2 Moderately low,2 Simple tone system,,,,,,,,,4 No possessive affixes,,,2 SVO,
agl,agx,aghu1253,Aghul,41.75,47.66666667,Lezgic,Nakh-Daghestanian,Eurasia,RU,,,,,,,,,,,,,,,
agm,nri,anga1287,Angami,25.66666667,94.5,Kuki-Chin,Sino-Tibetan,Eurasia,IN,,,1 Little affixation,,,8 Plural clitic,,,,,,,,1 SOV,2 Final
ago,aoa,ango1258,Angolar,0.25,6.5,Creoles and Pidgins,other,Africa,ST,,,,,,,2 Binary politeness distinction,,,"3 First, two, three",,,,,
agr,agr,agua1253,Aguaruna,-5,-78,Jivaroan,Jivaroan,South America,PE,,,,,,,,,,,,,,,
agt,lnj,leni1238,Anguthimri,-12.33333333,141.8333333,Northern Pama-Nyungan,Pama-Nyungan,Australia,AU,,,2 Strongly suffixing,,,2 Plural suffix,,,1 Case suffixes,,,,,1 SOV,
agu,agu,agua1252,Aguacatec,15.41666667,-91.33333333,Mayan,Mayan,North America,GT,,,,,,,,,,,,,,,
agw,wbj,alag1248,Alagwa,-5.5,35.75,Southern Cushitic,Afro-Asiatic,Africa,TZ,,,,2 Two,2 Sex-based,,,,,,,,,,
aho,arp,arap1274,Arapaho,40,-103,Algonquian,Algic,North America,US,,,,,,,,,,,,,,,
ahs,mey,hass1238,Arabic (Bani-Hassan),20,-10,Semitic,Afro-Asiatic,Africa,MR,,,,,,,,,,,,,,,
aht,aht,ahte1237,Ahtna,62,-145,Athapaskan,Na-Dene,North America,US,4 Moderately high,1 No tones,,,,,,,,,,,,,
ahu,ahh,aghu1255,Aghu,-6.166666667,140.1666667,Awju-Dumut,Trans-New Guinea,Papunesia,ID,,,,,,,,,,,,,,,
aik,tba,aika1237,Aikaná,-12.66666667,-60.66666667,Aikaná,Aikaná,South America,BR,3 Average,2 Simple tone system,,,,,,,,,,,,,
ain,ain,ainu1240,Ainu,43,143,Ainu,Ainu,Eurasia,JP,2 Moderately low,2 Simple tone system,4 Equal prefixing and suffixing,1 None,1 No gender,2 Plural suffix,2 Binary politeness distinction,9 Exclusively borderline case-marking,9 No case affixes or adpositional clitics,1 None,1 Possessive prefixes,2 No inflectional future,4 No perfect,1 SOV,2 Final
aiz,ahp,apro1235,Aizi,5.25,-4.5,Kru,Niger-Congo,Africa,CI,2 Moderately low,,,,,,,,,,,,,,
aja,aja,ajas1235,Aja,7.333333333,25.66666667,Kresh,Central Sudanic,Africa,SD CF,,,,,,,,,,,,,,2 SVO,
ajg,ajg,ajab1235,Ajagbe,7,1.75,Kwa,Niger-Congo,Africa,TG BJ,,,,,,8 Plural clitic,,,9 No case affixes or adpositional clitics,,2 Possessive suffixes,,,7 No dominant order,2 Final
aji,aji,ajie1238,Ajië,-21.33333333,165.5,Oceanic,Austronesian,Papunesia,NC,,,,,,,,,,,,,,,
aka,axk,yaka1272,Aka,2.666666667,16.25,Bantoid,Niger-Congo,Africa,CF CG,,,,,,,,,,,,,,,
akb,abj,akab1249,Aka-Biada,11.66666667,92.5,Great Andamanese,Great Andamanese,Eurasia,IN,,,,,,,,,,,,,,,
akc,aci,akac1240,Aka-Cari,13.5,93,Great Andamanese,Great Andamanese,Eurasia,IN,,,,,,,,,,,,,,,
akh,ahk,akha1245,Akha,21.83333333,99.83333333,Burmese-Lolo,Sino-Tibetan,Eurasia,MM TH CN,,,1 Little affixation,,,,,,9 No case affixes or adpositional clitics,,,,,1 SOV,2 Final
akk,akx,akak1252,Aka-Kede,12.75,92.75,Great Andamanese,Great Andamanese,Eurasia,IN,,,,,,,,,,,,,,,
akl,akl,akla1241,Aklanon,11.58333333,122.3333333,Greater Central Philippine,Austronesian,Papunesia,PH,,,,,,,,,,,,,,,
akm,mhv,marm1234,Arakanese (Marma),21.5,92.5,Burmese-Lolo,Sino-Tibetan,Eurasia,MM BD,,,,,,,,,,,,,,,
akn,aka,akan1250,Akan,6.5,-1.25,Kwa,Niger-Congo,Africa,GH,2 Moderately low,2 Simple tone system,6 Strong prefixing,,,6 Mixed morphological plural,,,9 No case affixes or adpositional clitics,,1 Possessive prefixes,1 Inflectional future exists,3 Other perfect,2 SVO,5 In either of two positions
ako,acy,cypr1248,Arabic (Kormakiti),35.25,33.5,Semitic,Afro-Asiatic,Eurasia,CY,,,,,,,,,,,,,,,
akr,ari,arik1262,Arikara,45.5,-100.5,Caddoan,Caddoan,North America,US,,,,,,,,,,,,,,,
akw,ake,akaw1239,Akawaio,6,-59.5,Cariban,Cariban,South America,GY,1 Low,1 No tones,,,,,,,,,,,,,
ala,amp,alam1246,Alamblak,-4.666666667,143.3333333,Sepik Hill,Sepik,Papunesia,PG,2 Moderately low,1 No tones,2 Strongly suffixing,2 Two,2 Sex-based,8 Plural clitic,1 No politeness distinction,7 8-9 cases,6 Postpositional clitics,"6 First, two-th, three-th",4 No possessive affixes,1 Inflectional future exists,4 No perfect,1 SOV,6 No question particle
alb,aln,tosk1239,Albanian,41,20,Albanian,Indo-European,Eurasia,AL RS,3 Average,1 No tones,2 Strongly suffixing,,,2 Plural suffix,1 No politeness distinction,4 4 cases,1 Case suffixes,"6 First, two-th, three-th",4 No possessive affixes,,,2 SVO,1 Initial
alc,,alle1238,Allentiac,-31,-68,Huarpe,Huarpe,South America,AR,,,,,,,,,,,,,,,
ald,ald,alla1248,Alladian,5.166666667,-4.333333333,Kwa,Niger-Congo,Africa,CI,3 Average,2 Simple tone system,,,,,,,,,,,,,
ale,ale,aleu1260,Aleut,54,-166,Aleut,Eskimo-Aleut,North America,US,,,2 Strongly suffixing,1 None,1 No gender,2 Plural suffix,,2 2 cases,1 Case suffixes,"6 First, two-th, three-th",2 Possessive suffixes,,,1 SOV,
alg,alq,algo1255,Algonquin,46,-77,Algonquian,Algic,North America,CA,,,,,,,,,,,,,,,
alk,apr,arop1243,Arop-Lokep,-5.383333333,147.05,Oceanic,Austronesian,Papunesia,PG,,,,,,7 Plural word,,,,,2 Possessive suffixes,,,2 SVO,6 No question particle
all,nrz,lala1268,Ala'ala,-8.916666667,146.75,Oceanic,Austronesian,Papunesia,PG,,,4 Equal prefixing and suffixing,,,,,,1 Case suffixes,,,,,1 SOV,1 Initial
aln,alp,alun1238,Alune,-3,128.3333333,Central Malayo-Polynesian,Austronesian,Papunesia,ID,,,4 Equal prefixing and suffixing,,,2 Plural suffix,,,9 No case affixes or adpositional clitics,,3 Prefixes and suffixes,,,2 SVO,
als,aes,alse1251,Alsea,44.66666667,-123.9166667,Alsea,Oregon Coast,North America,US,,,,,,,,,,,3 Prefixes and suffixes,,,,
alt,gsw,swis1247,Alsatian,48.5,7.5,Germanic,Indo-European,Eurasia,FR,,,,,,,,,,,,,,,
alu,alr,alut1245,Alutor,61,165,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,Eurasia,RU,,,,,,,,,,,,,,,
alw,alh,alaw1244,Alawa,-15.16666667,134.25,Alawa,Mangarrayi-Maran,Australia,AU,4 Moderately high,1 No tones,2 Strongly suffixing,,,1 Plural prefix,,,1 Case suffixes,,2 Possessive suffixes,1 Inflectional future exists,4 No perfect,7 No dominant order,
alx,btz,bata1292,Alas,3.666666667,97.83333333,Northwest Sumatra-Barrier Islands,Austronesian,Papunesia,ID,,,,,,,,,,,,,,,
aly,aly,alya1239,Alyawarra,-22.5,135,Central Pama-Nyungan,Pama-Nyungan,Australia,AU,,,2 Strongly suffixing,,,9 No plural,,,1 Case suffixes,,2 Possessive suffixes,1 Inflectional future exists,3 Other perfect,1 SOV,
ama,aie,amar1272,Amara,-5.666666667,148.5,Oceanic,Austronesian,Papunesia,PG,,,,,,,,,,,2 Possessive suffixes,,,2 SVO,
amb,abt,ambu1247,Ambulas,-3.833333333,143,Middle Sepik,Sepik,Papunesia,PG,,,,,,,,,6 Postpositional clitics,,,,,1 SOV,
amc,amc,amah1246,Amahuaca,-10.5,-72.5,Panoan,Panoan,South America,PE BR,3 Average,,2 Strongly suffixing,,,,,,9 No case affixes or adpositional clitics,,1 Possessive prefixes,,,7 No dominant order,3 Second position
amd,adx,amdo1237,Amdo,35,100,Bodic,Sino-Tibetan,Eurasia,CN,,,,,,,,,,,,,,,
ame,aey,amel1241,Amele,-5.25,145.5833333,Madang,Trans-New Guinea,Papunesia,PG,3 Average,1 No tones,2 Strongly suffixing,1 None,1 No gender,6 Mixed morphological plural,1 No politeness distinction,1 No morphological case-marking,9 No case affixes or adpositional clitics,"5 First/one-th, two-th, three-th",2 Possessive suffixes,1 Inflectional future exists,"2 From 'finish', 'already'",1 SOV,2 Final
amh,amh,amha1245,Amharic,10,38,Semitic,Afro-Asiatic,Africa,ET,4 Moderately high,1 No tones,3 Weakly suffixing,2 Two,2 Sex-based,2 Plural suffix,,2 2 cases,1 Case suffixes,,2 Possessive suffixes,2 No inflectional future,3 Other perfect,1 SOV,
ami,ami,amis1246,Amis,23.33333333,121.3333333,East Formosan,Austronesian,Papunesia,TW,,,,,,,,,,,,,,7 No dominant order,
amk,amr,amar1274,Amarakaeri,-12.5,-70.5,Harakmbet,Harakmbet,South America,PE,,,,,,,,,,,,,,,
aml,omb,east2443,Ambae (Lolovoli Northeast),-15.41666667,167.8833333,Oceanic,Austronesian,Papunesia,VU,,,1 Little affixation,,,7 Plural word,,,9 No case affixes or adpositional clitics,,2 Possessive suffixes,,,2 SVO,6 No question particle
amm,amm,amap1240,Ama,-4.216666667,141.6166667,Left May,Left May,Papunesia,PG,,,,,,,,,,,,,,,
amn,amn,aman1265,Amanab,-3.583333333,141.25,Border,Border,Papunesia,PG,,,2 Strongly suffixing,,,9 No plural,,,1 Case suffixes,,4 No possessive affixes,,,1 SOV,5 In either of two positions
amo,amo,amoo1242,Amo,10.33333333,8.666666667,Kainji,Niger-Congo,Africa,NG,2 Moderately low,2 Simple tone system,5 Weakly prefixing,,,1 Plural prefix,,,,,2 Possessive suffixes,,,,2 Final
amp,aer,east2379,Arrernte (Mparntwe),-24,136,Central Pama-Nyungan,Pama-Nyungan,Australia,AU,5 High,1 No tones,2 Strongly suffixing,,,9 No plural,,,6 Postpositional clitics,,2 Possessive suffixes,,,1 SOV,3 Second position
amq,amk,amba1265,Ambai,-1.833333333,136.5,South Halmahera - West New Guinea,Austronesian,Papunesia,ID,,,5 Weakly prefixing,,,8 Plural clitic,,,,,3 Prefixes and suffixes,,,2 SVO,2 Final
amr,ary,moro1292,Arabic (Moroccan),34,-6,Semitic,Afro-Asiatic,Africa,MA,,,3 Weakly suffixing,,,6 Mixed morphological plural,,,9 No case affixes or adpositional clitics,"7 First, second, three-th",2 Possessive suffixes,,,,1 Initial
ams,arb,stan1318,Arabic (Modern Standard),25,42,Semitic,Afro-Asiatic,Eurasia,KM KW SO SY OM QA EG TN MA LY JO LB ER YE SA IQ PS DZ AE BH SD IL,,,2 Strongly suffixing,,,,,,1 Case suffixes,,2 Possessive suffixes,,,3 VSO,1 Initial
amt,adx,amdo1237,Amdo (Themchen),38,98,Bodic,Sino-Tibetan,Eurasia,NP,,,,,,,,,,,,,,,
amu,ame,yane1238,Yanesha',-10.5,-75.41666667,Yanesha',Arawakan,South America,PE,5 High,1 No tones,,,,,,9 Exclusively borderline case-marking,,,,,,,
amx,imi,anam1248,Anamuxra,-4.666666667,145,Madang,Trans-New Guinea,Papunesia,PG,,,3 Weakly suffixing,,,2 Plural suffix,,,,,1 Possessive prefixes,,,,
amz,amu,guer1243,Amuzgo,16.83333333,-98,Amuzgoan,Oto-Manguean,North America,MX,3 Average,3 Complex tone system,,,,,,,,,,,,,
ana,aro,arao1248,Araona,-12.33333333,-67.75,Tacanan,Tacanan,South America,BO,4 Moderately high,1 No tones,2 Strongly suffixing,,,7 Plural word,,5 5 cases,1 Case suffixes,,4 No possessive affixes,2 No inflectional future,4 No perfect,,6 No question particle
anc,anc,ngas1240,Angas,9.5,9.5,West Chadic,Afro-Asiatic,Africa,NG,4 Moderately high,3 Complex tone system,1 Little affixation,,,7 Plural word,,,9 No case affixes or adpositional clitics,,2 Possessive suffixes,,,2 SVO,2 Final
ane,anz,anem1249,Anêm,-5.583333333,149.0833333,Anêm,Anêm,Papunesia,PG,,,,,,,,,,,2 Possessive suffixes,,,2 SVO,
ang,agg,ango1254,Anggor,-3.75,141.1666667,Senagi,Senagi,Papunesia,PG,,,2 Strongly suffixing,,,,,,9 No case affixes or adpositional clitics,,4 No possessive affixes,,,1 SOV,6 No question particle
ani,hnh,anii1246,//Ani,-18.91666667,21.91666667,Khoe-Kwadi,Khoe-Kwadi,Africa,BW,5 High,2 Simple tone system,,,,,,,,,,,,7 No dominant order,2 Final
anj,aty,anei1239,Anejom,-20.2,169.8,Oceanic,Austronesian,Papunesia,VU,,,4 Equal prefixing and suffixing,,,1 Plural prefix,,,9 No case affixes or adpositional clitics,,2 Possessive suffixes,,,4 VOS,2 Final
anl,apc,nort3139,Arabic (North Levantine Spoken),33.75,36,Semitic,Afro-Asiatic,Eurasia,LB,,,,,,,,,,,,,,,
ann,aoi,anin1240,Anindilyakwa,-14,136.5,Anindilyakwa,Gunwinyguan,Australia,AU,,,4 Equal prefixing and suffixing,,,1 Plural prefix,,,8 Inpositional clitics,,2 Possessive suffixes,,,7 No dominant order,
ano,nun,nung1282,Anong,27.33333333,98.75,Nungish,Sino-Tibetan,Eurasia,CN MM,,,,,,,,,,,,,,1 SOV,6 No question particle
ant,agm,anga1290,Angaatiha,-7.216666667,146.25,Angan,Trans-New Guinea,Papunesia,PG,1 Low,2 Simple tone system,,,,,,,,,,,,,
anu,cko,anuf1239,Anufo,10.08333333,0.25,Kwa,Niger-Congo,Africa,GH TG BJ,,,1 Little affixation,,,8 Plural clitic,,,9 No case affixes or adpositional clitics,,4 No possessive affixes,,,2 SVO,2 Final
anx,ani,andi1255,Andi,42.75,46.25,Avar-Andic-Tsezic,Nakh-Daghestanian,Eurasia,RU,,,,,,,,,,,,,,,
any,anu,anua1242,Anywa,8,33.5,Nilotic,Eastern Sudanic,Africa,ET,,,4 Equal prefixing and suffixing,,,2 Plural suffix,,,9 No case affixes or adpositional clitics,,,,,7 No dominant order,
ao,njo,aona1235,Ao,26.58333333,94.66666667,Kuki-Chin,Sino-Tibetan,Eurasia,IN,2 Moderately low,3 Complex tone system,3 Weakly suffixing,,,2 Plural suffix,,,6 Postpositional clitics,,1 Possessive prefixes,,,1 SOV,2 Final
aoj,aoj,mufi1238,Mufian,-3.5,143,Kombio-Arapesh,Torricelli,Papunesia,PG,,,5 Weakly prefixing,,,7 Plural word,,,9 No case affixes or adpositional clitics,,4 No possessive affixes,,,2 SVO,2 Final
apa,ajp,sout3123,Arabic (Palestinian),32,35.25,Semitic,Afro-Asiatic,Eurasia,PS,,,,,,,,,,,,,,,
apc,apm,mesc1238,Apache (Chiricahua),33.25,-108,Athapaskan,Na-Dene,North America,US,,,,,,,,,,,,,,,
ape,apz,safe1240,Ampeeli,-6.75,146.0833333,Angan,Trans-New Guinea,Papunesia,PG,,,,,,,,,,,,,,,
api,apn,apin1244,Apinayé,-5.5,-48,Ge-Kaingang,Macro-Ge,South America,BR,1 Low,1 No tones,,,,7 Plural word,,,9 No case affixes or adpositional clitics,,1 Possessive prefixes,,,1 SOV,1 Initial
apj,apj,jica1244,Apache (Jicarilla),36.58333333,-104,Athapaskan,Na-Dene,North America,US,,,,,,,,,,,,,,,
apk,apq,apuc1241,A-Pucikwar,12.16666667,92.83333333,Great Andamanese,Great Andamanese,Eurasia,IN,,,,,,,,,,,,,,,
apl,apy,apal1257,Apalaí,0,-54,Cariban,Cariban,South America,BR,,,4 Equal prefixing and suffixing,,,7 Plural word,,,9 No case affixes or adpositional clitics,,1 Possessive prefixes,,,7 No dominant order,6 No question particle
apt,apt,apat1240,Apatani,27.5,93.75,Tani,Sino-Tibetan,Eurasia,IN,,,2 Strongly suffixing,,,7 Plural word,,,9 No case affixes or adpositional clitics,,,,,1 SOV,2 Final
apu,apu,apur1254,Apurinã,-9,-67,Purus,Arawakan,South America,BR,3 Average,1 No tones,4 Equal prefixing and suffixing,2 Two,2 Sex-based,2 Plural suffix,1 No politeness distinction,9 Exclusively borderline case-marking,6 Postpositional clitics,1 None,1 Possessive prefixes,1 Inflectional future exists,4 No perfect,2 SVO,6 No question particle
apw,apw,west2615,Apache (Western),33.75,-110,Athapaskan,Na-Dene,North America,US,,,4 Equal prefixing and suffixing,,,,,,1 Case suffixes,,,,,1 SOV,6 No question particle
ara,arw,araw1276,Arawak,5.5,-55.16666667,Caribbean Arawakan,Arawakan,South America,SR,,,4 Equal prefixing and suffixing,,,2 Plural suffix,,,9 No case affixes or adpositional clitics,,1 Possessive prefixes,,,2 SVO,6 No question particle
arb,arl,arab1268,Arabela,-2,-75.16666667,Zaparoan,Zaparoan,South America,PE,2 Moderately low,1 No tones,,,,,,7 8-9 cases,,,,,,,
arc,aqc,arch1244,Archi,42,46.83333333,Lezgic,Nakh-Daghestanian,Eurasia,RU,5 High,1 No tones,2 Strongly suffixing,4 Four,2 Sex-based,2 Plural suffix,,,1 Case suffixes,,4 No possessive affixes,,,1 SOV,6 No question particle
ard,jbj,aran1237,Arandai,-2.083333333,133,South Bird's Head,Marind,Papunesia,ID,,,,,,,,,,,,,,,
arg,afb,gulf1241,Arabic (Gulf),26,49,Semitic,Afro-Asiatic,Eurasia,IQ SA OM QA KW IR BH,,,3 Weakly suffixing,2 Two,2 Sex-based,6 Mixed morphological plural,,,9 No case affixes or adpositional clitics,"6 First, two-th, three-th",2 Possessive suffixes,,,2 SVO,6 No question particle
arh,acw,hija1235,Arabic (Hijazi),26,38,Semitic,Afro-Asiatic,Eurasia,SA,,,,,,,,,,,,,,,
ari,laz,arib1241,Aribwatsa,-6.716666667,147,Oceanic,Austronesian,Papunesia,PG,,,,,,,,,,,2 Possessive suffixes,,,2 SVO,
arj,afb,gulf1241,Arabic (Kuwaiti),29.5,47.5,Semitic,Afro-Asiatic,Eurasia,KW,,,,,,6 Mixed morphological plural,,,,,,,,2 SVO,
ark,akr,arak1252,Araki,-15.66666667,166.9166667,Oceanic,Austronesian,Papunesia,VU,,,,,,,,,,,,,,,
arl,apc,nort3139,Arabic (Lebanese),34,36,Semitic,Afro-Asiatic,Eurasia,LB,,,,,,,,,,,,,,,
arm,hye,nucl1235,Armenian (Eastern),40,45,Armenian,Indo-European,Eurasia,AM,4 Moderately high,1 No tones,2 Strongly suffixing,1 None,1 No gender,2 Plural suffix,2 Binary politeness distinction,5 5 cases,1 Case suffixes,"6 First, two-th, three-th",2 Possessive suffixes,2 No inflectional future,3 Other perfect,7 No dominant order,6 No question particle
arn,shu,chad1249,Arabic (Borno Nigerian),8.583333333,12.41666667,Semitic,Afro-Asiatic,Africa,NG,,,,,,,,,,,,,,,
aro,aia,aros1241,Arosi,-10.25,161.3333333,Oceanic,Austronesian,Papunesia,SB,,,1 Little affixation,,,7 Plural word,,,,,2 Possessive suffixes,,,2 SVO,2 Final
arp,ape,buki1249,Arapesh (Mountain),-3.466666667,143.1666667,Kombio-Arapesh,Torricelli,Papunesia,PG,2 Moderately low,1 No tones,5 Weakly prefixing,5 Five or more,2 Sex-based,2 Plural suffix,1 No politeness distinction,1 No morphological case-marking,9 No case affixes or adpositional clitics,1 None,,1 Inflectional future exists,4 No perfect,2 SVO,2 Final
arq,acm,meso1252,Arabic (Iraqi),33,44,Semitic,Afro-Asiatic,Eurasia,IQ,,,4 Equal prefixing and suffixing,,,6 Mixed morphological plural,,,7 Prepositional clitics,,2 Possessive suffixes,,,2 SVO,
